REGIAO:;N
UF:;PA
ESTACAO:;PORTO DE MOZ
CODIGO (WMO):;A245
LATITUDE:;-1,82194443
LONGITUDE:;-52,11166666
ALTITUDE:;19
DATA DE FUNDACAO:;07/04/22
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/04/07;0000 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0100 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0200 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0300 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0400 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0500 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0600 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0700 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0800 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;0900 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1000 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1100 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1200 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1300 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1400 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1500 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1600 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1700 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1800 UTC;;;;;;;;;;;;;;;;;;
2022/04/07;1900 UTC;0;1006,2;1006,4;1006;898;26,4;23,9;30,4;26;25,8;23,9;92;75;86;292;5,4;1,1;
2022/04/07;2000 UTC;0;1005,9;1006,3;1005,8;281,2;26,3;24,7;27;26,3;24,8;23,8;91;84;91;140;4;,4;
2022/04/07;2100 UTC;0;1006,5;1006,5;1005,9;142,7;26,2;24,9;26,4;26,2;25,1;24,5;93;90;93;145;2;1,2;
2022/04/07;2200 UTC;0;1007,4;1007,4;1006,4;29,3;25,4;24,8;26,2;25,4;25;24,7;96;93;96;205;2;1;
2022/04/07;2300 UTC;0;1008,5;1008,5;1007,4;;25,4;24,9;25,4;25,3;24,9;24,7;97;96;97;93;1,8;,5;
2022/04/08;0000 UTC;0;1009,5;1009,5;1008,6;;25,5;24,9;25,6;25,4;25;24,9;97;96;96;130;2;,8;
2022/04/08;0100 UTC;0;1010,3;1010,3;1009,5;;25,6;24,2;25,7;25,5;24,9;24,2;96;92;92;87;3,6;1,2;
2022/04/08;0200 UTC;0;1010,7;1010,7;1010,3;;25,3;23,8;25,6;25,2;24,3;23,8;93;91;91;105;3,3;1,1;
2022/04/08;0300 UTC;0;1010,5;1010,8;1010,5;;24,9;23,7;25,4;24,9;23,9;23,7;93;91;93;108;3,5;1,5;
2022/04/08;0400 UTC;0;1009,7;1010,5;1009,7;;24,6;23,7;24,9;24,6;23,8;23,7;95;93;95;80;3,5;,6;
2022/04/08;0500 UTC;0;1009;1009,7;1009;;24,4;23,8;24,5;24,1;23,8;23,6;97;95;96;101;2,8;1,3;
2022/04/08;0600 UTC;0;1008,5;1009;1008,5;;24,6;23,9;24,6;24,4;24;23,8;97;96;96;88;3,3;1,1;
2022/04/08;0700 UTC;0;1008,5;1008,5;1008,3;;24,6;23,9;24,6;24,5;24;23,9;96;96;96;89;3,3;1,2;
2022/04/08;0800 UTC;0;1008,7;1008,7;1008,5;;24,6;23,8;24,6;24,6;23,9;23,8;96;95;95;97;4;1,7;
2022/04/08;0900 UTC;0;1009,2;1009,2;1008,6;;24,5;23,8;24,6;24,5;23,9;23,7;96;95;96;98;4;,9;
2022/04/08;1000 UTC;0;1010,2;1010,2;1009,2;49,8;24,7;23,7;24,7;24,5;23,8;23,6;96;94;95;104;4,6;1,8;
2022/04/08;1100 UTC;0;1011;1011;1010,2;290,1;25,3;24;25,3;24,7;24;23,6;95;92;92;97;4,6;1,3;
2022/04/08;1200 UTC;0;1012;1012;1011;771,3;26,4;24,3;26,4;25,3;24,4;23,7;92;86;88;108;4,4;2,2;
2022/04/08;1300 UTC;0;1012,3;1012,3;1012;1434,4;27,6;24,1;28,2;26,4;25,1;23,8;89;80;81;100;6;2,3;
2022/04/08;1400 UTC;0;1011,9;1012,3;1011,9;2214,6;29,2;24,6;30;27,4;25,4;23,7;83;72;76;102;5;1,7;
2022/04/08;1500 UTC;0;1010,8;1011,9;1010,8;2051,8;30,4;24,9;30,4;28,7;25,3;23,6;78;71;72;97;5,7;1,9;
2022/04/08;1600 UTC;0;1009,2;1010,8;1009,2;2669,4;30;23,9;31,2;28,9;25,2;23,4;78;66;70;132;5,7;2,5;
2022/04/08;1700 UTC;0;1007,7;1009,2;1007,7;3125;31,6;23,9;32;29,9;26,2;23,6;74;63;64;156;6,6;2,5;
2022/04/08;1800 UTC;0;1006,5;1007,7;1006,5;2271,7;32,7;24,6;33,2;30,5;25,8;23,5;71;62;62;98;5,1;1,5;
2022/04/08;1900 UTC;9,8;1006,6;1006,8;1006,5;433,6;26,4;25,4;32,6;25,4;25,4;23,8;97;62;94;5;9,3;,5;
2022/04/08;2000 UTC;,6;1007;1007,2;1006,6;147,4;24,4;23,6;26,5;24,3;25,4;22,5;96;87;96;46;12,1;,6;
2022/04/08;2100 UTC;0;1007,4;1007,4;1007;33,7;24,1;23,2;24,4;24;23,8;23,1;96;94;95;76;2,8;1,2;
2022/04/08;2200 UTC;0;1008,3;1008,3;1007,3;2;24;23,2;24,1;24;23,3;23,1;95;94;95;78;3,5;1;
2022/04/08;2300 UTC;0;1009,3;1009,3;1008,3;;24;23,4;24;23,9;23,4;23,1;96;95;96;73;2,2;,9;
2022/04/09;0000 UTC;0;1010,1;1010,1;1009,3;;24;23,5;24,1;24;23,6;23,4;97;96;97;62;2,2;,4;
2022/04/09;0100 UTC;0;1010,4;1010,4;1010,1;;24,2;23,8;24,2;23,9;23,8;23,4;98;97;98;52;1,4;,5;
2022/04/09;0200 UTC;0;1010,4;1010,5;1010,4;;24,1;23,8;24,2;24,1;23,8;23,7;98;98;98;4;1,4;,2;
2022/04/09;0300 UTC;0;1010,2;1010,5;1010,2;;24,2;23,8;24,2;24,1;23,9;23,7;98;98;98;302;,9;,4;
2022/04/09;0400 UTC;0;1010,1;1010,2;1010,1;;24;23,7;24,2;24;23,9;23,7;98;98;98;207;,8;,3;
2022/04/09;0500 UTC;0;1009,7;1010,1;1009,7;;23,8;;24;23,8;;;;;;187;,6;,4;
2022/04/09;0600 UTC;0;1009,3;1009,7;1009,3;;23,4;;23,8;23,4;;;;;;286;,8;,5;
2022/04/09;0700 UTC;0;1009,2;1009,3;1009;;23,3;;23,4;23,2;;;;;;50;,9;,2;
2022/04/09;0800 UTC;0;1009,4;1009,4;1009,2;;23,2;;23,3;23,1;;;;;;;1;,2;
2022/04/09;0900 UTC;,2;1009,6;1009,6;1009,4;;23,5;;23,5;23,1;;;;;;237;,9;,6;
2022/04/09;1000 UTC;0;1010,4;1010,4;1009,7;50,2;23,5;;23,5;23,3;;;;;;213;1,6;,9;
2022/04/09;1100 UTC;0;1011,2;1011,2;1010,4;433,4;25,1;;25,1;23,5;;;;;;143;1,7;,9;
2022/04/09;1200 UTC;0;1011,9;1011,9;1011,2;1252,1;27,9;;28,1;25,1;;;;;;77;3,4;1,1;
2022/04/09;1300 UTC;0;1012,1;1012,2;1011,9;2026,9;28,8;;29;27,5;;;;;;95;4,1;1,2;
2022/04/09;1400 UTC;0;1011,8;1012,1;1011,8;1687,4;29;;29,4;28,3;;;;;;14;3,3;,7;
2022/04/09;1500 UTC;0;1011,3;1011,8;1011,3;2304,5;29,4;;30,5;28,7;;;;;;122;4,6;2,2;
2022/04/09;1600 UTC;1,2;1009,9;1011,3;1009,9;1833;27,3;;30,2;27,2;;;;;;186;4;,8;
2022/04/09;1700 UTC;0;1008,4;1009,9;1008,4;3152,3;30,2;;31,5;27,3;;;;;;52;3,6;1,3;
2022/04/09;1800 UTC;0;1007;1008,4;1007;2298,6;31,3;;31,7;29,7;;;;;;258;3,7;1,3;
2022/04/09;1900 UTC;0;1006,5;1007;1006,5;1643,8;29;;31,2;28,6;;;;;;252;5,4;3,2;
2022/04/09;2000 UTC;1;1006,8;1006,8;1006;1210,4;26,2;;29,6;26,2;;;;;;47;5,4;1,8;
2022/04/09;2100 UTC;4,6;1006,8;1006,8;1006,2;345,3;25,8;;26,4;25,4;;;;;;96;4,6;,9;
2022/04/09;2200 UTC;0;1008;1008;1006,8;28,3;25,2;;25,8;25,1;;;;;;129;3,1;1,2;
2022/04/09;2300 UTC;0;1008,8;1008,8;1008;;25;;25,3;25;;;;;;109;2,1;,9;
2022/04/10;0000 UTC;,6;1009,4;1009,4;1008,8;;24,8;;25,1;24,8;;;;;;269;1,6;,2;
2022/04/10;0100 UTC;0;1010,2;1010,2;1009,4;;24,8;;24,8;24,7;;;;;;87;1,3;,6;
2022/04/10;0200 UTC;0;1010,2;1010,2;1009,9;;24,7;;24,8;24,6;;;;;;103;2,9;1,4;
2022/04/10;0300 UTC;0;1010,1;1010,4;1010,1;;24,7;;24,7;24,6;;;;;;114;4,3;2,3;
2022/04/10;0400 UTC;,2;1009,7;1010,2;1009,7;;24,2;;24,7;24,2;;;;;;148;4,1;1,5;
2022/04/10;0500 UTC;0;1009;1009,7;1009;;23,6;;24,2;23,6;;;;;;133;3,4;1,7;
2022/04/10;0600 UTC;0;1008,4;1009;1008,4;;23,4;;23,6;23,4;;;;;;136;3,3;,9;
2022/04/10;0700 UTC;0;1008,4;1008,5;1008,4;;23,4;;23,4;23,3;;;;;;130;1,7;,8;
2022/04/10;0800 UTC;0;1008,8;1008,8;1008,4;;23,4;;23,4;23,3;;;;;;168;1,4;,5;
2022/04/10;0900 UTC;0;1009;1009;1008,8;;23,4;;23,5;23,4;;;;;;167;1,7;,9;
2022/04/10;1000 UTC;0;1009,9;1009,9;1009;23,4;23,6;;23,6;23,3;;;;;;360;1,7;,3;
2022/04/10;1100 UTC;0;1010,2;1010,2;1009,9;207,6;24;;24;23,6;;;;;;343;,9;,3;
2022/04/10;1200 UTC;0;1010,7;1010,7;1010,2;540,4;25,3;;25,4;24;;;;;;93;1,9;1;
2022/04/10;1300 UTC;0;1011;1011;1010,6;1163,7;27;;27;25,3;;;;;;121;3,9;1;
2022/04/10;1400 UTC;0;1010,7;1011;1010,7;2019;28,5;;28,7;27;;;;;;82;3,9;1,4;
2022/04/10;1500 UTC;,2;1009,9;1010,7;1009,9;3352,9;30,3;;30,8;28,5;;;;;;86;5;1,9;
2022/04/10;1600 UTC;0;1009;1009,9;1009;2366,9;30,4;;31,2;29,6;;;;;;70;5;1,6;
2022/04/10;1700 UTC;,4;1007,8;1009;1007,8;2228,3;31,4;25,2;31,4;27,5;26,3;24,2;88;70;70;2;4,7;,9;
2022/04/10;1800 UTC;0;1007,2;1007,8;1007;2703,1;28,3;25,1;31,4;27,7;25,9;23,6;86;69;83;33;7,9;1,4;
2022/04/10;1900 UTC;,2;1006,5;1007,2;1006,5;439,5;26;24,2;28,3;26;25,5;23,5;90;81;90;162;4,8;1,2;
2022/04/10;2000 UTC;0;1006,1;1006,5;1006,1;91,9;24,6;23,7;26;24,6;24,6;23,7;96;90;95;216;3,2;1,4;
2022/04/10;2100 UTC;,4;1006,5;1006,5;1005,9;82,7;24,2;23,3;24,6;24,2;23,7;23,1;95;93;94;176;2,3;,8;
2022/04/10;2200 UTC;0;1006,8;1006,8;1006,5;17,4;24,1;23,3;24,2;24,1;23,4;23,1;96;93;95;273;1,5;,7;
2022/04/10;2300 UTC;0;1007,2;1007,3;1006,8;;23,9;23,4;24,1;23,9;23,4;23,2;97;95;97;221;1,3;,5;
2022/04/11;0000 UTC;0;1008,2;1008,3;1007,2;;24;23,6;24;23,8;23,6;23,4;98;97;98;61;1,2;,6;
2022/04/11;0100 UTC;2;1009;1009;1008,2;;24,5;24,1;24,5;23,9;24,1;23,5;98;98;98;96;2,7;,9;
2022/04/11;0200 UTC;0;1009,4;1009,4;1009;;24,7;24,3;24,7;24,5;24,3;24,2;98;97;97;89;2,1;,8;
2022/04/11;0300 UTC;0;1009,4;1009,7;1009,2;;25;24,2;25;24,7;24,5;24,2;98;95;96;33;2,7;,9;
2022/04/11;0400 UTC;0;1008,6;1009,5;1008,6;;24,7;24;25;24,7;24,3;23,9;97;95;96;66;2,5;,6;
2022/04/11;0500 UTC;2,4;1008,3;1008,6;1008,2;;24,6;24,2;24,7;24,5;24,2;23,9;98;95;98;32;1,4;,4;
2022/04/11;0600 UTC;5,4;1007,7;1008,3;1007,7;;23,9;23,5;24,9;23,9;24,4;23,3;98;96;97;60;7,5;2;
2022/04/11;0700 UTC;0;1007,4;1007,7;1007,4;;23,6;23,2;24;23,6;23,5;23,1;97;97;97;307;4,8;,5;
2022/04/11;0800 UTC;0;1007,5;1007,5;1007,2;;23,4;23,1;23,6;23,4;23,1;23;98;97;98;70;1,2;,2;
2022/04/11;0900 UTC;0;1008;1008;1007,5;;23,5;23,2;23,6;23,4;23,3;23,1;98;98;98;188;1;,3;
2022/04/11;1000 UTC;0;1008,7;1008,7;1008;87;24;23,7;24;23,5;23,7;23,2;98;98;98;189;1;,3;
2022/04/11;1100 UTC;0;1009,5;1009,5;1008,7;652,9;26,1;24,5;26,5;24;24,9;23,7;98;88;91;69;3;,9;
2022/04/11;1200 UTC;0;1009,9;1009,9;1009,5;822,7;27,2;;27,2;26;;;;;;71;3,1;1,2;
2022/04/11;1300 UTC;0;1010,1;1010,1;1009,9;1540,7;28,1;;28,8;27;;;;;;68;5,3;1,6;
2022/04/11;1400 UTC;0;1009,7;1010,1;1009,7;2368,8;29,3;;29,8;28,1;;;;;;45;5,3;2,1;
2022/04/11;1500 UTC;0;1009,2;1009,8;1009,2;3126,7;30,7;;31,1;29,2;;;;;;61;5,6;1,8;
2022/04/11;1600 UTC;,4;1008,1;1009,2;1008,1;2251,1;30,3;;31,4;28,3;;;;;;47;5,3;1,2;
2022/04/11;1700 UTC;,2;1006,9;1008,1;1006,9;2939;31,5;;32;28,5;;;;;;82;5;1,1;
2022/04/11;1800 UTC;,2;1005,9;1006,9;1005,9;2316,9;27,9;;32,8;27,9;;;;;;189;6,2;3,4;
2022/04/11;1900 UTC;3,8;1005,2;1006;1005,2;574,9;26,8;;27,9;26;;;;;;311;6,2;1,1;
2022/04/11;2000 UTC;0;1005,2;1005,3;1005,1;1047,8;27,8;;28,9;26,8;;;;;;312;3,5;1,6;
2022/04/11;2100 UTC;0;1005,4;1005,4;1005,1;567,5;29,1;;30;27,8;;;;;;249;3,5;,5;
2022/04/11;2200 UTC;0;1006,3;1006,3;1005,4;78,4;26,8;;29,1;26,8;;;;;;122;1,3;,6;
2022/04/11;2300 UTC;0;1007,5;1007,5;1006,3;;26,5;;26,8;26,4;;;;;;72;1,3;,7;
2022/04/12;0000 UTC;1,8;1008,8;1008,8;1007,5;;24,8;;26,5;24,8;;;;;;129;8,2;3,8;
2022/04/12;0100 UTC;9;1010,3;1010,3;1008,8;;24,5;;24,8;24,5;;;;;;129;7,7;,6;
2022/04/12;0200 UTC;,8;1010,3;1010,3;1010,1;;24,3;;24,6;24,3;;;;;;241;2;,7;
2022/04/12;0300 UTC;0;1010,3;1010,4;1010,2;;24,2;;24,4;24,1;;;;;;121;1,6;1;
2022/04/12;0400 UTC;0;1009;1010,3;1009;;24;;24,2;24;;;;;;267;1,6;,7;
2022/04/12;0500 UTC;0;1007,9;1009;1007,9;;23,7;;24;23,7;;;;;;166;1,9;,8;
2022/04/12;0600 UTC;0;1007,9;1008;1007,8;;23,5;;23,7;23,5;;;;;;112;1,7;,6;
2022/04/12;0700 UTC;0;1007,7;1008,2;1007,7;;23,5;;23,7;23,5;;;;;;13;1,1;,4;
2022/04/12;0800 UTC;0;1008,1;1008,1;1007,5;;23,3;;23,6;23,2;;;;;;170;1,6;,8;
2022/04/12;0900 UTC;,8;1008,6;1008,6;1008,1;;23,5;;23,6;23,3;;;;;;192;1,5;,7;
2022/04/12;1000 UTC;,4;1009,4;1009,5;1008,5;17,8;24;;24;23,4;;;;;;56;1,6;,5;
2022/04/12;1100 UTC;0;1010,3;1010,3;1009,4;378;25,2;;25,2;24;;;;;;45;2,7;1,2;
2022/04/12;1200 UTC;0;1010,9;1010,9;1010,1;1309,1;27,7;;27,7;25,2;;;;;;59;5;1,6;
2022/04/12;1300 UTC;0;1011,8;1011,8;1010,8;1358,1;27,7;;28,3;26,8;;;;;;57;5,1;1,7;
2022/04/12;1400 UTC;0;1011,6;1011,8;1011,5;1889,8;29,1;;29,3;27,5;;;;;;50;5;1,6;
2022/04/12;1500 UTC;0;1010,9;1011,6;1010,9;2147,9;28,8;;30,3;28,2;;;;;;73;6,4;1,7;
2022/04/12;1600 UTC;0;1009,2;1010,9;1009,2;1976,8;29;;29,6;28,3;;;;;;84;4,5;1,1;
2022/04/12;1700 UTC;0;1007,7;1009,2;1007,7;1585,2;28,9;;29,8;28,5;;;;;;138;3,7;1,9;
2022/04/12;1800 UTC;0;1006,5;1007,7;1006,5;1340,7;29,3;;29,7;28,8;;;;;;60;3,7;,8;
2022/04/12;1900 UTC;0;1006;1006,5;1006;936,8;28,3;;29,9;28,3;;;;;;111;5,1;2,2;
2022/04/12;2000 UTC;,2;1006;1006;1005,7;760,9;27,3;;28,3;26,8;;;;;;185;5,1;1,1;
2022/04/12;2100 UTC;0;1006,3;1006,3;1005,9;380,5;27,2;;27,6;27,2;;;;;;106;1,9;,9;
2022/04/12;2200 UTC;0;1006,8;1006,8;1006,3;38,5;26,4;;27,2;26,4;;;;;;87;2,7;,8;
2022/04/12;2300 UTC;0;1007,2;1007,4;1006,8;;25,8;;26,4;25,8;;;;;;188;2,7;,5;
2022/04/13;0000 UTC;0;1008,1;1008,1;1007,2;;25,4;;25,8;25,4;;;;;;192;2,4;1,1;
2022/04/13;0100 UTC;0;1009,4;1009,4;1008,1;;24,8;24,3;25,4;24,8;24,7;24,3;97;97;97;132;2,7;1,2;
2022/04/13;0200 UTC;0;1009,6;1009,6;1009,3;;24,3;23,4;24,8;24,2;24,2;23,4;97;95;95;119;2,5;,9;
2022/04/13;0300 UTC;0;1010;1010;1009,6;;24;23,4;24,3;24;23,4;23,2;96;95;96;226;1,9;,3;
2022/04/13;0400 UTC;0;1009,6;1010;1009,6;;24,2;23,6;24,2;24;23,6;23,3;97;96;97;70;1;,5;
2022/04/13;0500 UTC;0;1009;1009,6;1009;;23,9;23,5;24,2;23,9;23,6;23,5;98;96;98;176;1,1;,3;
2022/04/13;0600 UTC;0;1008,6;1009;1008,6;;23,6;23,3;24;23,5;23,6;23,2;98;98;98;91;,8;,4;
2022/04/13;0700 UTC;0;1007,9;1008,6;1007,8;;23,4;23,1;23,6;23,3;23,3;23;98;98;98;42;1,2;,3;
2022/04/13;0800 UTC;0;1007,7;1008;1007,6;;23;22,8;23,4;23;23,1;22,7;98;98;98;307;1;,7;
2022/04/13;0900 UTC;0;1008,3;1008,3;1007,7;;23,1;22,8;23,1;22,8;22,8;22,5;99;98;99;229;1,1;,3;
2022/04/13;1000 UTC;0;1008,8;1008,8;1008,3;39;23,7;23,4;23,7;23,1;23,4;22,8;99;98;99;354;,9;,3;
2022/04/13;1100 UTC;0;1009,9;1009,9;1008,8;566;27,1;24,7;27,2;23,7;25,3;23,5;99;87;87;79;2,3;,9;
2022/04/13;1200 UTC;0;1010,4;1010,4;1009,9;1222,8;27,2;24,7;27,4;26,7;25,2;24,1;88;85;86;56;4,7;1,9;
2022/04/13;1300 UTC;0;1010,2;1010,5;1010,2;1844,5;29,5;25,3;29,5;27;25,4;24;88;77;78;60;5,7;2,5;
2022/04/13;1400 UTC;,2;1010,4;1010,5;1010,2;2116,6;29,2;24,5;30,1;28,6;25,8;23,7;79;72;76;61;6,3;2;
2022/04/13;1500 UTC;0;1009,8;1010,4;1009,8;2168,9;29,9;24,8;31;28,9;25,8;23,9;77;70;74;70;5,8;1,6;
2022/04/13;1600 UTC;0;1008,1;1009,8;1008,1;2080,8;30;24,7;31,3;29,2;25,7;24;77;67;73;56;5,1;1,2;
2022/04/13;1700 UTC;5,4;1006,7;1008,1;1006,7;1090,7;27,7;25,8;30,1;25,9;26,4;24,3;94;72;89;181;4,7;1,1;
2022/04/13;1800 UTC;,2;1006,1;1006,7;1006,1;1419,9;27;24,5;29,5;26,4;26,7;23,8;93;80;87;126;4,9;,9;
2022/04/13;1900 UTC;0;1005,3;1006,1;1005,2;2315,4;29,3;25,7;30,1;27;26,2;24,7;89;74;81;59;5,9;1,3;
2022/04/13;2000 UTC;0;1005,9;1005,9;1005,3;744;27,3;23,9;29,3;27,3;25,9;23,9;85;80;81;115;6,4;3,2;
2022/04/13;2100 UTC;0;1005,9;1006;1005,7;415,4;25,3;23;27,3;25,3;23,6;22,4;88;79;87;90;9,6;,9;
2022/04/13;2200 UTC;0;1006,2;1006,3;1005,9;47,7;24,5;23,2;25,3;24,5;23,2;22,9;93;87;93;74;3,1;,8;
2022/04/13;2300 UTC;0;1006,8;1006,8;1006,2;;24,2;23,2;24,5;24,2;23,3;23,1;94;92;94;104;2;1,1;
2022/04/14;0000 UTC;0;1008,2;1008,2;1006,8;;24,2;23,2;24,3;24;23,3;23,1;95;94;94;69;2,2;,6;
2022/04/14;0100 UTC;0;1009,2;1009,2;1008,2;;24,1;23,5;24,4;24,1;23,6;23,2;97;94;97;137;1,6;,5;
2022/04/14;0200 UTC;0;1009,7;1009,7;1009,2;;23,8;23,3;24,2;23,8;23,6;23,3;97;97;97;160;1,1;,7;
2022/04/14;0300 UTC;0;1009,5;1009,7;1009,5;;23,7;23,3;23,8;23,7;23,4;23,3;98;97;98;68;1,2;,5;
2022/04/14;0400 UTC;0;1008,4;1009,5;1008,4;;24,3;23,8;24,3;23,5;23,8;23,2;98;97;97;66;2,1;,9;
2022/04/14;0500 UTC;0;1007,5;1008,4;1007,5;;24,8;23,8;24,8;24,3;23,9;23,7;97;94;94;50;3;1,1;
2022/04/14;0600 UTC;0;1006,7;1007,5;1006,7;;24,7;23,7;24,8;24,7;23,8;23,6;94;93;94;60;3,5;1;
2022/04/14;0700 UTC;0;1006,6;1006,7;1006,2;;24,6;23,8;24,7;24,6;23,8;23,6;95;94;95;58;3;1;
2022/04/14;0800 UTC;0;1006,7;1006,7;1006,5;;24,3;23,5;24,6;24,3;23,8;23,5;95;94;95;59;2,5;,4;
2022/04/14;0900 UTC;0;1007,6;1007,6;1006,7;;23,6;23,2;24,3;23,5;23,6;23,1;98;95;98;198;1,4;,9;
2022/04/14;1000 UTC;0;1008,7;1008,7;1007,6;23;24,2;23,8;24,2;23,6;23,8;23,2;98;98;98;192;1,4;,5;
2022/04/14;1100 UTC;0;1009,7;1009,7;1008,7;400;26,2;24,5;26,2;24,2;24,7;23,9;98;90;90;140;1,9;,7;
2022/04/14;1200 UTC;0;1010,4;1010,4;1009,7;1005;27,1;24,2;27,6;26,2;24,9;23,9;91;82;84;43;3,6;1,4;
2022/04/14;1300 UTC;,2;1011;1011;1010,4;1869,7;29,6;24,9;29,7;27,1;25,2;23,8;86;74;76;77;4,8;1;
2022/04/14;1400 UTC;0;1010,9;1011,1;1010,9;2235,6;30;23,7;30,3;28,4;25,1;22,6;78;68;69;102;5,8;1,9;
2022/04/14;1500 UTC;0;1010,1;1010,9;1010,1;2305;29,9;;30,8;29,4;;;;;;118;5,8;1,9;
2022/04/14;1600 UTC;,8;1009;1010,1;1009;2638,3;30,9;;31,1;27,6;;;;;;77;4;1,1;
2022/04/14;1700 UTC;0;1007,1;1009;1007,1;3249,9;30,5;;31,4;30;;;;;;348;3,8;1,1;
2022/04/14;1800 UTC;0;1005,7;1007,1;1005,7;1792,6;31,1;;31,6;29,6;;;;;;88;3,3;1;
2022/04/14;1900 UTC;4,8;1005,7;1005,8;1005,2;1289,9;24,1;;31,1;24,1;;;;;;105;11;1,8;
2022/04/14;2000 UTC;1,2;1005,3;1005,7;1005;231,3;24,9;;24,9;24,1;;;;;;261;4,5;,5;
2022/04/14;2100 UTC;0;1005,5;1005,5;1005,1;310,9;25,6;;25,7;24,9;;;;;;215;2,3;1,2;
2022/04/14;2200 UTC;0;1005,8;1005,8;1005,4;43,7;25;;25,6;25;;;;;;76;2,4;,4;
